# 日文词汇读音词典
# 生成时间: 2025-10-26 00:01:54
# 词条数: 16247
# 格式: 词汇<TAB>读音<TAB>词频<TAB>词性
#
が	ガ	30000	助詞
さ	サ	30000	助詞
て	テ	30000	助詞
ば	バ	30000	助詞
か	カ	30000	助詞
は	ワ	30000	助詞
し	シ	30000	助詞
や	ヤ	30000	助詞
ど	ド	30000	助詞
ぞ	ゾ	30000	助詞
と	ト	30000	助詞
つ	ツ	30000	助詞
で	デ	30000	助詞
の	ノ	30000	助詞
も	モ	30000	助詞
よ	ヨ	30000	助詞
へ	エ	30000	助詞
に	ニ	30000	助詞
け	ケ	30000	助詞
ね	ネ	30000	助詞
を	オ	30000	助詞
ぜ	ゼ	30000	助詞
ょ	ヨ	30000	助詞
ぺ	ペ	30000	助詞
べ	ベ	30000	助詞
ゎ	ワ	30000	助詞
ノ	ノ	30000	助詞
ヶ	ガ	30000	助詞
ト	ト	30000	助詞
ツ	ツ	30000	助詞
ず	ズ	24000	助動詞
た	タ	24000	助動詞
ぬ	ヌ	24000	助動詞
せ	セ	24000	助動詞
だ	ダ	24000	助動詞
な	ナ	24000	助動詞
れ	レ	24000	助動詞
す	ス	24000	助動詞
り	リ	24000	助動詞
る	ル	24000	助動詞
たり	タリ	22500	助詞
じょ	ジョ	22500	助詞
から	カラ	22500	助詞
って	ッテ	22500	助詞
ばや	バヤ	22500	助詞
すら	スラ	22500	助詞
だり	ダリ	22500	助詞
さへ	サエ	22500	助詞
しき	シキ	22500	助詞
をば	オバ	22500	助詞
きり	キリ	22500	助詞
だん	ダン	22500	助詞
のう	ノー	22500	助詞
しか	シカ	22500	助詞
ねん	ネン	22500	助詞
だけ	ダケ	22500	助詞
でん	デン	22500	助詞
ちゃ	チャ	22500	助詞
のみ	ノミ	22500	助詞
つつ	ツツ	22500	助詞
ばあ	バー	22500	助詞
とも	トモ	22500	助詞
まで	マデ	22500	助詞
なー	ナー	22500	助詞
らあ	ラー	22500	助詞
づつ	ズツ	22500	助詞
さえ	サエ	22500	助詞
ぎり	ギリ	22500	助詞
さあ	サー	22500	助詞
さー	サー	22500	助詞
にゃ	ニャ	22500	助詞
かぁ	カー	22500	助詞
より	ヨリ	22500	助詞
っけ	ッケ	22500	助詞
かて	カテ	22500	助詞
ばい	バイ	22500	助詞
ぐれ	グレ	22500	助詞
ずつ	ズツ	22500	助詞
べい	ベー	22500	助詞
きゃ	キャ	22500	助詞
ょり	ヨリ	22500	助詞
んば	ンバ	22500	助詞
カラ	カラ	22500	助詞
こそ	コソ	22500	助詞
さぁ	サー	22500	助詞
すけ	スケ	22500	助詞
やら	ヤラ	22500	助詞
バイ	バイ	22500	助詞
なあ	ナー	22500	助詞
など	ナド	22500	助詞
っと	ット	22500	助詞
きに	キニ	22500	助詞
にょ	ニョ	22500	助詞
ほど	ホド	22500	助詞
だに	ダニ	22500	助詞
がー	ガー	22500	助詞
とて	トテ	22500	助詞
てぇ	テー	22500	助詞
がに	ガニ	22500	助詞
なぞ	ナゾ	22500	助詞
っさ	ッサ	22500	助詞
つちや	ッチャ	20000	助詞
さかい	サカイ	20000	助詞
ながら	ナガラ	20000	助詞
どころ	ドコロ	20000	助詞
ぐらい	グライ	20000	助詞
かしら	カシラ	20000	助詞
たって	タッテ	20000	助詞
くらい	クライ	20000	助詞
くらゐ	クライ	20000	助詞
ぐらゐ	グライ	20000	助詞
けんど	ケンド	20000	助詞
ばかり	バカリ	20000	助詞
っきり	ッキリ	20000	助詞
っから	ッカラ	20000	助詞
っきゃ	ッキャ	20000	助詞
なんざ	ナンザ	20000	助詞
なんて	ナンテ	20000	助詞
ばかし	バカシ	20000	助詞
ばっか	バッカ	20000	助詞
じゃーん	ジャーン	18750	助詞
なんざあ	ナンザー	18750	助詞
ばっかり	バッカリ	18750	助詞
ない	ナイ	18000	助動詞
ます	マス	18000	助動詞
せる	セル	18000	助動詞
れる	レル	18000	助動詞
たい	タイ	18000	助動詞
たら	タラ	18000	助動詞
たる	タル	18000	助動詞
げる	ゲル	18000	助動詞
げり	ゲリ	18000	助動詞
ざる	ザル	18000	助動詞
てん	テン	18000	助動詞
れよ	レヨ	18000	助動詞
とく	トク	18000	助動詞
れい	レイ	18000	助動詞
はら	ハラ	18000	助動詞
なら	ナラ	18000	助動詞
はり	ハリ	18000	助動詞
です	デス	18000	助動詞
でし	デシ	18000	助動詞
まつ	マツ	18000	助動詞
だら	ダラ	18000	助動詞
てる	テル	18000	助動詞
まし	マシ	18000	助動詞
げら	ゲラ	18000	助動詞
なれ	ナレ	18000	助動詞
ませ	マセ	18000	助動詞
どろ	ドロ	18000	助動詞
はる	ハル	18000	助動詞
じや	ジャ	18000	助動詞
れん	レン	18000	助動詞
れれ	レレ	18000	助動詞
しめ	シメ	18000	助動詞
ずら	ズラ	18000	助動詞
ちう	チュー	18000	助動詞
とい	トイ	18000	助動詞
とか	トカ	18000	助動詞
とふ	トー	18000	助動詞
なか	ナカ	18000	助動詞
てけ	テケ	18000	助動詞
だっ	ダッ	18000	助動詞
せれ	セレ	18000	助動詞
せろ	セロ	18000	助動詞
んく	ンク	18000	助動詞
べう	ビョー	18000	助動詞
さし	サシ	18000	助動詞
ぢや	ジャ	18000	助動詞
ひん	ヒン	18000	助動詞
べき	ベキ	18000	助動詞
せっ	セッ	18000	助動詞
やし	ヤシ	18000	助動詞
やせ	ヤセ	18000	助動詞
れっ	レッ	18000	助動詞
どけ	ドケ	18000	助動詞
くな	クナ	18000	助動詞
くね	クネ	18000	助動詞
たく	タク	18000	助動詞
けれ	ケレ	18000	助動詞
つえ	ツエ	18000	助動詞
させ	サセ	18000	助動詞
れろ	レロ	18000	助動詞
ざら	ザラ	18000	助動詞
ざり	ザリ	18000	助動詞
ざれ	ザレ	18000	助動詞
らし	ラシ	18000	助動詞
つお	ツオ	18000	助動詞
まい	マイ	18000	助動詞
っす	ッス	18000	助動詞
られ	ラレ	18000	助動詞
たぐ	タグ	18000	助動詞
たっ	タッ	18000	助動詞
どる	ドル	18000	助動詞
まさ	マサ	18000	助動詞
だる	ダル	18000	助動詞
だろ	ダロ	18000	助動詞
ちっ	チッ	18000	助動詞
たぁ	ター	18000	助動詞
たー	ター	18000	助動詞
ぢゃ	ジャ	18000	助動詞
とろ	トロ	18000	助動詞
つっ	ツッ	18000	助動詞
つー	ツー	18000	助動詞
てか	テカ	18000	助動詞
てく	テク	18000	助動詞
てこ	テコ	18000	助動詞
てっ	テッ	18000	助動詞
てろ	テロ	18000	助動詞
でか	デカ	18000	助動詞
でく	デク	18000	助動詞
でけ	デケ	18000	助動詞
でっ	デッ	18000	助動詞
でつ	デツ	18000	助動詞
でよ	デヨ	18000	助動詞
でる	デル	18000	助動詞
とき	トキ	18000	助動詞
とけ	トケ	18000	助動詞
とん	トン	18000	助動詞
どい	ドイ	18000	助動詞
どす	ドス	18000	助動詞
どっ	ドッ	18000	助動詞
げれ	ゲレ	18000	助動詞
にや	ニャ	18000	助動詞
ねぇ	ネー	18000	助動詞
