我	1000
你	1000
他	1000
她	1000
它	1000
们	500
的	2000
了	1500
是	1800
在	1200
有	1100
这	900
那	900
个	1500
不	1300
一	1600
人	1000
我们	1200
你们	800
他们	900
她们	700
它们	600
中国	1500
美国	800
日本	700
英国	600
北京	1000
上海	900
广州	700
深圳	700
天安门	600
长城	500
故宫	400
西湖	400
可以	1100
不能	900
应该	800
必须	700
需要	900
工作	1000
学习	900
生活	1100
时间	1000
问题	900
社会	800
经济	900
发展	1000
国家	1100
人民	1000
世界	900
今天	800
明天	700
昨天	700
现在	900
将来	600
过去	700
什么	1000
怎么	900
为什么	800
哪里	700
这里	800
那里	700
这个	1200
那个	1100
一个	1300
没有	1000
已经	900
还是	800
如果	900
因为	1000
所以	900
但是	800
而且	700
或者	700
虽然	600
然而	500
非常	800
很	1000
太	900
最	1100
更	800
比较	700
特别	600
天安门广场	400
人民大会堂	300
故宫博物院	300
